,Model,Params,Inference_Time,Accuracy,Precision_Neg,Recall_Neg,F1_Neg,Precision_Pos,Recall_Pos,F1_Pos,ROC_AUC,Avg_Precision
2,Transformer,873473,2.7053843339284263,0.8912142351632798,0.8711484593837535,0.9360421369450714,0.902430177729416,0.9186408231634362,0.8391256830601093,0.8770847612519991,0.9427240992241178,0.9432853547922556
1,LSTM,329409,1.270744800567627,0.8907087251036295,0.8592027141645462,0.9527840481565086,0.9035768441709036,0.9371871871871872,0.8185792349726776,0.8738770271846926,0.9377818072670605,0.9379910090494057
0,RNN,323169,0.7585246562957764,0.7719138610858356,0.8080950463149416,0.7548908954100828,0.7805874343512935,0.7354314720812183,0.7916939890710383,0.7625263157894737,0.7844389141759901,0.7047951711008082
