Model,Accuracy,Precision_Positive,Recall_Positive,F1_Positive
LSTM,0.8875745627337984,0.9447726688928847,0.8039344262295082,0.8686820973075107
RNN,0.7678697806086341,0.8275366484622018,0.6292896174863388,0.7149242612366526
